"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"SGU","Star Group L.P. Unit",9.77,7.2,355001264.27,6.24360286591607,,73.24
"MMLP","Martin Midstream Partners LP Unit",3.89,6.9,151129417.5,0.5141388174807198,,
"TGS","Transportadora de Gas del Sur ADR",6.56,4.1,987622504.16,,3.89,-1.31
"RNGR","Ranger Energy Services Inc - Class A",8.9,6.3,220871549.2,,,
"CSAN","Cosan S.A ADR",16.4,6.5,7661332094.4,3.78279756097561,,
"LPG","Dorian LPG Ltd",15.42,6.8,618906372,29.182879377431906,-2.12,
"GPRK","Geopark Limited",13.45,8.1,801417577.5,,,
"GPP","Green Plains Partners LP Unit",13.7,8.1,318481461.4,13.138686131386862,,-1.79
"SHLX","Shell Midstream Partners L.P. Unit",15.78,13,6206108893.86,7.604562737642586,,-10.81
"BPT","BP Prudhoe Bay Royalty Trust Unit",15.8,7.8,338120000,35.56837974683544,,-34.29
"MVO","MV Oil Trust",11.87,7.9,136505000,23.58887952822241,,0.51
"CDEV","Centennial Resource Development Inc. - Class A",7.29,5.6,2078081968.95,,,
"WTI","W & T Offshore Inc",6.16,6.8,881831017.76,,,
"YPF","YPF ADR",4.41,3.8,1734509417.13,,16.03,4.38
"SD","Sandridge Energy Inc New",19.25,4.8,707280112,,,
"PRT","PermRock Royalty Trust Unit",8.83,12.1,107423413.56,12.32643261608154,,-17.1
"SHI","Sinopec Shanghai Petrochemical Co. Ltd. ADR",15.94,5.3,1725315871.9,9.326612296110413,26.32,
"TALO","Talos Energy Inc",19.37,8.4,1598825852.65,,,
"BSM","Black Stone Minerals L.P. Unit",15.12,12.6,3166154263.44,11.11111111111111,,-6.57
"EC","Ecopetrol SA ADR",11.22,3.5,23066465715.48,13.00476827094474,0.86,
"PBR","Petroleo Brasileiro S.A. Petrobras ADR",13.62,3.2,88831010580.6,38.37983627019089,,
"PBFX","Pbf Logistics Lp Unit",18.56,7.5,1164457926.4,6.4655172413793105,,13.87
"NOA","North American Construction Group Ltd",11.82,8.6,321212471.52,2.1138382402707276,,14.02
"DLNG","Dynagas LNG Partners LP Unit",3.28,2.4,120711370.16,,,
"EPSN","Epsilon Energy Ltd",6.48,10.5,149064053.76,3.8580246913580245,,6.36
"HMLP","Hoegh LNG Partners LP Unit",9.17,7.5,306030428.34,0.4362050163576881,,3.11
"VOC","VOC Energy Trust Unit",7.75,8.7,131750000,19.612903225806452,,-1.73
"ICD","Independence Contract Drilling Inc",3.57,-0.4,48612707.85,,,
"ET","Energy Transfer LP Unit",11.67,9.3,36024950963.16,7.8834618680377035,,
"TGA","Transglobe Energy Corp.",3.44,2,252183180.16,5.813953488372093,,
"HEP","Holly Energy Partners L.P. Unit",17.05,9.5,2155805427.05,8.211143695014663,,-0.89
"NESR","National Energy Services Reunited Corp",6.87,8.8,627651684.45,,,1.41
"CVE","Cenovus Energy Inc",18.68,11.4,36071080000,1.7491043897216274,,
"PBR.A","Petroleo Brasileiro S.A. Petrobras ADR - Preference Shares",12.38,2.9,80743605799.4,,,
"EGY","VAALCO Energy, Inc.",5.24,3.7,309516870.2,2.480916030534351,,
"ERF","Enerplus Corporation",14.58,6.6,3388746133.62,1.3717421124828533,,
"CPG","Crescent Point Energy Corp",7.68,3.3,4357632000,3.2129375,,
"VIST","Vista Energy S.A.B. de C.V ADR",9.13,5.4,789813146.32,,,
"ESTE","Earthstone Energy Inc - Class A",15.07,7.8,1573950705.36,,,
